English,POS,Chinese_1,Chinese_2,Example,Course,Date,Correct,Total,srs_interval,srs_ease,srs_due,srs_streak,srs_last_review
young,,年輕的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
kind,,和藹、親切的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
host,,男主(持)人,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
active,,主動、積極的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
lazy,,懶惰的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
kid,,孩童、青年,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
angry,,生氣的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
lonely,,孤獨、寂寞的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
king,,國王,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
bad,,壞的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
lovely,,可愛、美好的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
lady,,淑女、女士,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
bored,,感到無聊的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
mad,,發狂、惱火的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
male,,男性,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
boring,,枯燥無趣的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
naughty,,頑皮、淘氣的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
man,,男人,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
brave,,勇敢的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
nervous,,緊張的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
master,,主人、大師,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
busy,,忙碌的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
nice,,美好、體面的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
neighbor,,鄰居,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
careful,,仔細、小心的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
patient,,有耐心的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
partner,,夥伴,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
careless,,粗心的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
polite,,有禮貌的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
people,,人們,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
childish,,幼稚的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
poor,,貧窮、可憐的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
person,,人,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
childlike,,天真的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
proud,,驕傲、自豪的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
prince,,王子,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
clever,,機敏、伶俐的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
rich,,富有的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
princess,,公主,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
confident,,有自信的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
rude,,粗魯、無禮的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
queen,,皇后,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
considerate,,體貼的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
sad,,傷心的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
stranger,,陌生人,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
cool,,酷的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
selfish,,自私的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
teenager,,青少年,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
crazy,,瘋狂、狂熱的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
shy,,害羞的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
visitor,,訪客,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
cruel,,冷酷的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
silly,,愚蠢、糊塗的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
woman,,女人,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
curious,,好奇的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
sincere,,真誠的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
youth,,青年,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
diligent,,勤勉的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
smart,,機警、瀟灑的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
dishonest,,不誠實的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
sneaky,,鬼鬼祟祟的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
evil,,邪惡的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
stingy,,小氣的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
beautiful,,漂亮的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
energetic,,有活力的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
stupid,,笨的、遲鈍的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
blind,,盲的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
excited,,感到興奮的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
successful,,成功的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
chubby,,圓胖的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
exciting,,刺激的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
talkative,,愛說話、健談的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
cute,,可愛的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
famous,,有名的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
unhappy,,不快樂的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
deaf,,聾的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
foolish,,愚蠢的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
wise,,有智慧的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
dumb,,啞的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
frank,,坦白、直率的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
fat,,胖的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
friendly,,友善的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
beard,,鬍子,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
comfortable,,舒適的,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
aunt,,姑.姨.嬸.伯/舅母,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
chin,,下巴,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
dizzy,,頭暈的,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
brother,,兄弟,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
ear,,耳朵,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
healthy,,健康的,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
cousin,,堂表兄弟姐妹,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
eye,,眼睛,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
ill,,生病的,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
daughter,,女兒,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
face,,臉,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
painful,,痛苦的,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
elder,,長輩,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
hair,,頭髮,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
pale,,蒼白的,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
family,,家人、家庭,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
lip,,嘴唇,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
sick,,生病、想吐的,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
father,,父親,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
mouth,,嘴巴,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
strong,,強壯的,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
nose,,鼻子,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
tired,,疲累、厭煩的,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
granddaughter,,孫女,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
tongue,,舌頭,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
weak,,虛弱的,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
grandfather,,祖父、外公,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
tooth,,牙齒,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
well,,健康、安好的,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
ankle,,腳踝,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
wound,,傷口,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
grandmother,,祖母、外婆,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
arm,,手臂,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
cancer,,癌症,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
back,,背部,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
cold,,感冒,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
grandson,,孫子,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
body,,身體,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
flu,,流行性感冒,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
husband,,丈夫,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
bone,,骨頭,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
headache,,頭痛,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
mother,,母親,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
finger,,手指,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
stomachache,,胃(肚子)痛,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
foot,,腳,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
toothache,,牙痛,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
nephew,,姪子、外甥,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
hand,,手,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
cough,,咳嗽,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
niece,,姪女、外甥女,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
head,,頭,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
fever,,發燒,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
parent,,父/母,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
hip,,臀部,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
pain,,痛苦,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
relative,,親戚,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
knee,,膝蓋,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
sister,,姐妹,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
leg,,腿,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
cure,,治療,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
son,,兒子,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
nail,,指甲,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
recover,,復原、恢復,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
uncle,,叔.伯.舅.姑/姨丈,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
neck,,脖子,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
death,,死亡,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
wife,,妻子,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
shoulder,,肩膀,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
health,,健康,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
born,,出生的、誕生的,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
skin,,皮膚,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
life,,生命、生活,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
grow,,成長,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
throat,,喉嚨,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
medicine,,藥物,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
live,,居住、(生/過)活,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
thumb,,拇指,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
marry,,結婚,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
toe,,腳趾,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
married,,結婚的、已婚的,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
waist,,腰,,,國小1200-健康,2026-03-07,0,0,0,2.5,,0,
wrist,,手腕,,,國小1200-稱謂,2026-03-07,0,0,0,2.5,,0,
heart,,心(臟),,,國小1200-稱謂,2026-03-07,0,0,0,2.5,,0,
Dr.,,醫生、博士,,,國小1200-稱謂,2026-03-07,0,0,0,2.5,,0,
stomach,,胃,,,國小1200-稱謂,2026-03-07,0,0,0,2.5,,0,
Mr.,,先生,,,國小1200-稱謂,2026-03-07,0,0,0,2.5,,0,
Mrs.,,太太、女士,,,國小1200-稱謂,2026-03-07,0,0,0,2.5,,0,
Miss,,小姐(未婚),,,國小1200-稱謂,2026-03-07,0,0,0,2.5,,0,
Ms.,,小姐,,,國小1200-稱謂,2026-03-07,0,0,0,2.5,,0,
sir,,先生(尊稱),,,國小1200-稱謂,2026-03-07,0,0,0,2.5,,0,
ma'am,,女士(尊稱),,,國小1200-稱謂,2026-03-07,0,0,0,2.5,,0,
name,,名字,,,國小1200-稱謂,2026-03-07,0,0,0,2.5,,0,
zero,,零,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
less,,比較少,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
one,,一,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
little,,(+不可數名詞),,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
two,,二,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
many,,(+可數名詞),,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
three,,三,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
more,,比較多,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
four,,四,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
much,,(+不可數名詞),,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
five,,五,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
number,,數字,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
six,,六,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
several,,數個的,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
seven,,七,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
some,,一些,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
eight,,八,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
total,,總計、全體的,,,國小1200-家人、家庭,2026-03-07,0,0,0,2.5,,0,
nine,,九,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
ten,,十,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
eleven,,十一,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
twelve,,十二,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
thirteen,,十三,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
fourteen,,十四,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
fifteen,,十五,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
sixteen,,十六,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
seventeen,,十七,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
eighteen,,十八,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
nineteen,,十九,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
twenty,,二十,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
thirty,,三十,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
forty,,四十,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
fifty,,五十,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
sixty,,六十,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
seventy,,七十,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
eighty,,八十,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
ninety,,九十,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
hundred,,百,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
thousand,,千,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
million,,百萬,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
first,,第一,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
second,,第二,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
third,,第三,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
last,,最後,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
all,,(+,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
both,,兩者(都)…,,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
few,,(+可數名詞),,,國小1200-數字,2026-03-07,0,0,0,2.5,,0,
dawn,,清晨,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
a.m.,,早上,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
bill,,帳單,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
morning,,早上,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
p.m.,,下午,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
noon,,正午,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
half,,半(小時),,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
cent,,分(錢),,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
afternoon,,下午,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
hour,,小時、鐘頭,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
evening,,傍(夜)晚,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
minute,,分鐘,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
coin,,硬幣,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
night,,夜晚,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
moment,,片刻,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
midnight,,午夜,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
dollar,,元,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
Monday,,週一,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
past,,過去,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
Tuesday,,週二,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
quarter,,一刻,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
Wednesday,,週三,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
borrow,,借(入),,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
Thursday,,週四,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
time,,時間,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
buy,,買,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
Friday,,週五,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
ago,,在…以前,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
charge,,索價,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
Saturday,,週六,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
already,,已經,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
Sunday,,週日,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
current,,現行的,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
earn,,賺,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
week,,星期,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
early,,早的,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
lend,,借(出),,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
weekday,,平日,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
pay,,付錢,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
weekend,,週末,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
late,,遲(晚)的,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
month,,月(份),,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
later,,比較晚的,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
cheap,,便宜的,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
January,,一月,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
next,,下個的,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
expensive,,昂貴的,,,國小1200-金錢,2026-03-07,0,0,0,2.5,,0,
February,,二月,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
now,,現在,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
March,,三月,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
once,,昔日,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
April,,四月,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
future,,未來,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
May,,五月,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
soon,,很快地,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
June,,六月,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
today,,今天,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
July,,七月,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
tonight,,今晚,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
August,,八月,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
tomorrow,,明天,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
September,,九月,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
October,,十月,,,國小1200-時間,2026-03-07,0,0,0,2.5,,0,
